ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,GEOID,NAMELSAD,MEDIAN_INCOME,TOTAL_POPULATION,PCT_WHITE,PCT_BLACK,PCT_HISPANIC,PCT_TRANSIT_WALK_COMMUTE
410235,1,48,Male,Pedestrian,2021,August,Tuesday,1:00am-1:59am,Dark - Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.53514444,-122.63107778,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",41051002502,Census Tract 25.02,89554.0,4491,78.53484747272323,2.404809619238477,9.107103095079047,12.160836874795685
410236,1,61,Male,Bicyclist,2021,August,Tuesday,6:00pm-6:59pm,Daylight,Clear,Rural,Minor Arterial,Not an Intersection,On Shoulder,None / Unknown,43.99690833,-121.40109167,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,Unknown,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",41017000401,Census Tract 4.01,87035.0,5756,81.7234190410007,1.3029881862404449,6.480194579569146,2.8040430388001303
410248,1,37,Male,Bicyclist,2021,July,Sunday,1:00am-1:59am,Dark - Unknown Lighting,Not Reported,Rural,Minor Arterial,Not an Intersection,On Shoulder,None / Unknown,45.25514167,-122.77018333,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",41047010202,Census Tract 102.02,75750.0,8104,65.07897334649556,1.0365251727541955,31.071076011846,1.6804407713498621
410255,1,59,Male,Bicyclist,2021,March,Saturday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.06497222,-121.30252778,Not a Pedestrian,At Intersection,Not a Pedestrian,Sidewalk  / Crosswalk / Driveway Access,Not a Pedestrian,Not applicable,98,Not Reported,3,Traffic control signal(on colors) not known whether or not Pedestrian Signal,1,"Two-Way, Not Divided",41017001601,Census Tract 16.01,64363.0,4643,88.64958001292268,0.021537798836958864,2.067628688348051,0.6797281087564974
410257,1,43,Male,Pedestrian,2021,May,Wednesday,7:00am-7:59am,Not Reported,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,43.38100833,-124.24601111,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",41011000505,Census Tract 5.05,41069.0,4204,78.54424357754519,1.0466222645099905,11.132254995242626,0.0
410260,1,84,Female,Bicyclist,2021,July,Saturday,6:00am-6:59am,Dawn,Clear,Urban,Major Collector,Not an Intersection,Not Reported,None / Unknown,42.25995556,-122.82396111,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Unknown,Not a Pedestrian,Unknown,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",41029001602,Census Tract 16.02,58459.0,5841,81.71545968156137,0.9929806539976032,12.960109570279062,5.3355704697986575
410265,1,47,Female,Pedestrian,2021,August,Sunday,8:00pm-8:59pm,Dark - Lighted,Clear,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,44.04770833,-123.09429722,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,25,25 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",41039003900,Census Tract 39,35867.0,4008,81.312375249501,0.17465069860279442,8.08383233532934,19.15841584158416
410266,1,67,Female,Pedestrian,2021,August,Thursday,1:00am-1:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.92303889,-123.01133056,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41047001000,Census Tract 10,55648.0,4534,68.68107631230701,1.0807234230260256,21.08513453903838,5.51301684532925
410271,1,23,Male,Pedestrian,2021,August,Friday,2:00am-2:59am,Dark - Not Lighted,Clear,Rural,Interstate,Not an Intersection,On Roadway,None / Unknown,42.77962778,-123.27583611,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,65,65 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41019210000,Census Tract 2100,52436.0,3853,87.82766675317934,0.0,4.386192577212562,7.983539094650206
410274,1,69,Female,Pedestrian,2021,August,Sunday,7:00pm-7:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.54029722,-123.37535556,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,25,25 MPH,97,Not Reported,4,One-Way Trafficway,41003010800,Census Tract 108,71313.0,4259,86.61657666118808,0.0,5.658605306409956,4.247572815533981
410279,1,35,Male,Pedestrian,2021,September,Thursday,9:00am-9:59am,Daylight,Clear,Urban,Local,Not an Intersection,On Roadside,None / Unknown,45.49048889,-122.65507222,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41051001000,Census Tract 10,93471.0,5841,78.20578668036295,2.3283684300633456,3.5439137134052388,15.071507150715071
410283,1,51,Male,Pedestrian,2021,May,Wednesday,2:00am-2:59am,Dark - Lighted,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.49417222,-122.870075,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",41067031606,Census Tract 316.06,97344.0,5815,48.23731728288908,6.122098022355976,31.418744625967328,5.070866141732284
410288,1,34,Male,Pedestrian,2021,September,Saturday,4:00am-4:59am,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.56605,-122.74924167,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",41051004300,Census Tract 43,109375.0,1027,86.6601752677702,0.3894839337877313,9.444985394352482,2.6737967914438503
410290,1,61,Female,Bicyclist,2021,September,Monday,7:00pm-7:59pm,Daylight,Clear,Rural,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.01024444,-122.91012778,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",41047002600,Census Tract 26,99259.0,2103,78.45934379457917,0.0,14.740846409890631,2.965235173824131
410324,1,53,Male,Person on Motorized Personal Conveyance,2021,February,Tuesday,5:00pm-5:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,43.23839444,-123.35282222,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",41019120002,Census Tract 1200.02,45496.0,4394,79.33545744196631,0.40964952207555755,9.558488848429675,6.498951781970649
410337,1,61,Female,Pedestrian,2021,April,Friday,8:00pm-8:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.88866389,-123.03378889,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",41047002001,Census Tract 20.01,96032.0,5479,68.89943420332177,2.2449352071545903,8.870231794123015,1.245674740484429
410341,1,40,Male,Pedestrian,2021,September,Sunday,6:00pm-6:59pm,Not Reported,Not Reported,Rural,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,43.26236667,-123.40397222,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",41019080001,Census Tract 800.01,54618.0,2962,74.983119513842,0.0,19.412559081701552,0.0
410348,1,65,Male,Pedestrian,2021,August,Monday,9:00pm-9:59pm,Dark - Lighted,Clear,Urban,Major Collector,T-Intersection,On Roadway,None / Unknown,45.35898889,-122.83628056,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,25,25 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",41067032112,Census Tract 321.12,89651.0,7007,77.40830597973455,0.0,11.559868702725845,4.275256222547584
410353,1,58,Female,Pedestrian,2021,August,Monday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.49710833,-122.44287222,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",41051010001,Census Tract 100.01,43214.0,5876,68.46494213750852,3.1994554118447924,16.21851599727706,9.595254710397768
410355,1,36,Male,Pedestrian,2021,September,Monday,9:00pm-9:59pm,Not Reported,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.05503611,-123.12807778,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",41039004200,Census Tract 42,43365.0,3424,69.85981308411215,2.803738317757009,16.647196261682243,23.198773633111905
410356,1,44,Male,Bicyclist,2021,September,Sunday,9:00pm-9:59pm,Not Reported,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,Not Reported,None / Unknown,42.24126944,-122.77663889,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Unknown,Not a Pedestrian,Unknown,98,Not Reported,97,Not Reported,8,Not Reported,41029001702,Census Tract 17.02,48466.0,4447,81.74049921295256,0.29233190915223745,13.020013492241961,4.191077061739523
410362,1,39,Male,Pedestrian,2021,November,Saturday,7:00pm-7:59pm,Dark - Not Lighted,Cloudy,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,44.63175,-123.06234167,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,65,65 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41043020103,Census Tract 201.03,75804.0,2918,80.26045236463331,0.205620287868403,14.15352981494174,4.163512490537472
410367,1,72,Female,Pedestrian,2021,September,Monday,7:00pm-7:59pm,Dark - Not Lighted,Rain,Rural,Major Collector,T-Intersection,On Roadway,None / Unknown,42.57708056,-121.87192222,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,50,50 MPH,97,Not Reported,1,"Two-Way, Not Divided",41035970202,Census Tract 9702.02,56875.0,2748,68.74090247452693,0.0,3.7481804949053856,2.7382256297918945
